index,word
1,.
2,하다
3,톰
4,은
5,이
6,있다
7,을
8,?
9,는
10,가
11,에
12,를
13,것
14,나
15,난
16,그
17,내
18,않다
19,의
20,말
21,사람
22,없다
23,수
24,네
25,야
26,우리
27,너
28,들
29,이야
30,보다
31,같다
32,적
33,싶다
34,메리
35,한테
36,에서
37,로
38,안
39,도
40,고
41,좋다
42,프랑스어
43,생각
44,이다
45,!
46,","
47,좋아하다
48,걸
49,가다
50,거야
51,더
52,알
53,오다
54,거
55,모르다
56,알다
57,게
58,되다
59,하고
60,에게
61,좀
62,일
63,으로
64,배우다
65,해
66,다
67,너무
68,못
69,여기
70,자다
71,줄
72,아니다
73,왜
74,우린
75,모두
76,인
77,들다
78,정말
79,이건
80,날
81,먹다
82,어떻다
83,돼다
84,주다
85,보이다
86,과
87,고양이
88,그걸
89,아무
90,집
91,가장
92,한
93,아
94,공부
95,자기
96,와
97,시간
98,살
99,건
100,때
101,넌
102,되어다
103,거기
104,아주
105,많다
106,해주다
107,그녀
108,누구
109,계속
110,거짓말
111,뭐
112,미안하다
113,책
114,받다
115,그것
116,아직도
117,도와주다
118,학교
119,그렇게
120,웃다
121,죽다
122,믿다
123,서
124,저
125,그건
126,같이
127,법
128,얼마나
129,말다
130,이랑
131,보스턴
132,떠나다
133,읽다
134,뭔가
135,많이
136,아직
137,친구
138,라고
139,타다
140,사실
141,마
142,치다
143,노래
144,언어
145,가지
146,오늘
147,전
148,랑
149,시작
150,해보다
151,중독
152,갈다
153,무슨
154,어디
155,누가
156,지금
157,혼자
158,크다
159,인간
160,쓰다
161,돈
162,물
163,당신
164,걸리다
165,몇
166,이상
167,중
168,호주
169,기다리다
170,그렇다
171,개
172,그만
173,과학
174,보내다
175,라는
176,그게
177,앉다
178,눈
179,운전
180,원하다
181,내일
182,꿈
183,진짜
184,만
185,모든
186,처럼
187,만나다
188,선생님
189,수영
190,에는
191,번
192,대해
193,자
194,꽤
195,나이
196,두다
197,사랑
198,문제
199,자신
200,남자
201,제
202,어제
203,이렇다
204,일어나다
205,안다
206,어리다
207,사다
208,어렵다
209,방
210,언제
211,만큼
212,일이
213,써다
214,누군가
215,괜찮다
216,기억
217,이제
218,싫다
219,이해
220,줄다
221,외로워
222,찾다
223,마리
224,애
225,결혼
226,바로
227,명
228,세
229,한번
230,생일
231,절대
232,잘
233,늦다
234,울다
235,얘기
236,바쁘다
237,질문
238,거미
239,비다
240,빌리다
241,널
242,위해
243,둘
244,입다
245,외롭다
246,""""
247,나다
248,아프다
249,다시
250,나르다
251,기분
252,이라도
253,자살
254,무엇
255,아름답다
256,거의
257,살다
258,어디서
259,프랑스
260,곳
261,컴퓨터
262,항상
263,필요
264,방법
265,가보다
266,조심하다
267,지다
268,열심히
269,빨리
270,쉬다
271,차다
272,부탁
273,그냥
274,피
275,늙다
276,싫어하다
277,감기
278,아이
279,가르치다
280,지
281,노력
282,작다
283,궁금하다
284,소프트웨어
285,시도
286,이기다
287,이지
288,키
289,부르다
290,필요하다
291,니까
292,걱정
293,전부
294,지하철
295,뿐
296,너희
297,영어
298,행동
299,차
300,파티
301,없이
302,고맙다
303,이렇게
304,수가
305,대답
306,끔찍하다
307,조용하다
308,싸우다
309,요
310,사과
311,집중
312,보고
313,듣다
314,이름
315,마음
316,무섭다
317,느끼다
318,아마
319,뭘
320,이네
321,경찰
322,여자
323,맞다
324,아침
325,다른
326,반
327,세상
328,일해
329,제발
330,물어보다
331,나쁘다
332,예요
333,불다
334,다치다
335,이상하다
336,걸다
337,입
338,머리
339,강아지
340,끄다
341,자동차
342,은행
343,실수
344,달
345,자주
346,곧
347,아빠
348,만들다
349,후
350,한때
351,도움
352,갖다
353,정말로
354,동물
355,중요하다
356,음식
357,크리스마스
358,까지
359,마다
360,동안
361,슬프다
362,잊어버리다
363,바라다
364,죄송하다
365,비
366,멈추다
367,하나
368,버리다
369,용서
370,걔
371,소리
372,빠지다
373,틀리다
374,끝내다
375,열
376,이유
377,사용
378,키우다
379,녹다
380,래
381,굳다
382,빠르다
383,약
384,행복하다
385,텐데
386,침대
387,밤
388,놀라다
389,학생
390,관심
391,손
392,한국
393,정확하다
394,3
395,가끔
396,속
397,돌아가다
398,상황
399,산
400,그다지
401,딸
402,매일
403,데
404,선물
405,정도
406,아파트
407,만약
408,이라고
409,의사
410,년
411,피아노
412,겪다
413,훨씬
414,새
415,준비
416,저걸
417,서로
418,와인
419,존재
420,그거
421,운동
422,새롭다
423,거짓말쟁이
424,꽃
425,신
426,사라지다
427,어두워지다
428,사전
429,졸리다
430,가지다
431,조언
432,태어나다
433,바이러스
434,돌아오다
435,고용
436,중이
437,죽
438,일찍
439,결정
440,단지
441,부터
442,캐나다
443,사진
444,조금
445,위험하다
446,모자
447,저런
448,간
449,소설
450,척
451,대화
452,시험
453,다음
454,일주일
455,할아버지
456,한다는
457,부모님
458,두
459,어려움
460,진정하다
461,잡다
462,귀엽다
463,생기다
464,잊다
465,당장
466,멋지다
467,엄마
468,내다
469,답
470,흥미롭다
471,놓다
472,키스
473,빨갛다
474,끝나다
475,이나
476,총
477,지르다
478,똑똑하다
479,꾸다
480,생선
481,바뀌다
482,매우
483,버스
484,문
485,수도
486,의심
487,책임
488,굽다
489,울
490,숨다
491,다니다
492,최선
493,별로
494,충분하다
495,엔
496,이미
497,몸
498,보이
499,확실하다
500,성
501,과거
502,사회
503,지내다
504,단어
505,전혀
506,인지
507,자폐증
508,여행
509,기타
510,도착
511,2
512,구성
513,거지
514,가수
515,달라
516,쓸다
517,맛있다
518,대부분
519,고등학교
520,함께
521,성공
522,이야기
523,지구
524,명의
525,존
526,뛰다
527,쏘다
528,저리
529,들어오다
530,열다
531,그만하다
532,깊다
533,냄새
534,아래
535,바보
536,확인
537,진실
538,선
539,무시
540,내버리다
541,추다
542,남아
543,물고기
544,담배
545,잠
546,볼
547,축하
548,멍청하다
549,가방
550,시
551,안전하다
552,놓치다
553,농담
554,때문
555,증거
556,빨간색
557,세다
558,운
559,게임
560,시계
561,음악
562,나중
563,무언가
564,탓
565,월요일
566,변호사
567,눈치
568,요리
569,열쇠
570,피곤하다
571,시키다
572,몇몇
573,목표
574,유일하다
575,살이
576,씻다
577,테니스
578,고통
579,바닥
580,날씨
581,나오다
582,배
583,저녁
584,옷
585,해고
586,감옥
587,또
588,물이
589,늘다
590,서다
591,려고
592,계란
593,가격
594,얼마
595,대한
596,그치다
597,우산
598,밖에
599,상태
600,만난
601,시달리다
602,진단
603,간다
604,니
605,여성
606,오늘밤
607,여자애
608,달리
609,들어가다
610,빼다
611,안경
612,애쓰다
613,기술
614,회사
615,확신
616,편지
617,경험
618,어젯밤
619,가치
620,주
621,역사
622,마지막
623,오래
624,공항
625,앨리스
626,뇌
627,원어민
628,안녕
629,어서
630,나가다
631,완벽하다
632,재미있다
633,미소
634,약속
635,죽이다
636,타
637,천천히
638,가만히
639,반대
640,부럽다
641,저기
642,따르다
643,춤
644,쳐다보다
645,외국
646,늦잠
647,충격
648,움직
649,이고
650,춤추다
651,어
652,살아나다
653,이해해
654,오래되다
655,우울하다
656,비명
657,가을
658,드릴
659,들리다
660,초록색
661,하루
662,매력
663,목소리
664,상사
665,게으르다
666,자고
667,마시다
668,창피하다
669,포기
670,경고
671,어딨다
672,후회
673,계획
674,훔치다
675,아이디어
676,술
677,영화
678,인생
679,구
680,2013년
681,소심하다
682,잘못
683,예약
684,티비
685,상자
686,유용하다
687,즐겁다
688,처지
689,당하다
